C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:22:38

 IdentList
----------

 # 	typed ident	            identifier             	         typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	 Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	----------------------	---------------------------------------	---------	---------	---------	---------	--------	---------------	----	----
150	hip 113687 	V* V340 Peg                        	LongPeriodV*          	23 01 32.7422948280 +32 36 46.783168704	     ~   	8.90     	7.64     	     ~   	     ~  	M6             	  14	   0
151	hip 110509 	V* RT Aqr                          	Mira                  	22 23 12.8691254328 -22 03 23.801159160	     ~   	11.46    	8.80     	     ~   	     ~  	M5             	  45	   0
152	hip 87538  	V* V533 Oph                        	LongPeriodV*_Candidate	17 53 03.3173775576 -02 34 45.660468324	     ~   	8.92     	7.57     	     ~   	     ~  	M6III          	  27	   0
153	hip 97644  	V* T Pav                           	Mira                  	19 50 43.4841659712 -71 46 17.245067556	     ~   	11.79    	10.92    	     ~   	     ~  	M4e            	  39	   0
154	hip 84948  	V* RS Her                          	Mira                  	17 21 42.3553596648 +22 55 16.040460324	     ~   	10.15    	8.75     	8.23     	     ~  	M4-6e          	  92	   0
155	hip 110451 	V* UU Tuc                          	OH/IR*                	22 22 19.0445081664 -60 52 14.492879544	     ~   	12.60    	11.28    	     ~   	     ~  	M9             	  29	   0
156	hip 98424  	V* V2101 Cyg                       	LongPeriodV*          	19 59 53.7857761512 +52 08 59.399997612	     ~   	8.62     	7.21     	     ~   	     ~  	M3             	  19	   0
157	hip 50407  	V* WZ Vel                          	LongPeriodV*          	10 17 33.3300838320 -47 56 50.078338980	     ~   	9.86     	9.00     	     ~   	     ~  	M5/6II/III     	  21	   0
158	hip 69754  	V* R Cen                           	Mira                  	14 16 34.3193427192 -59 54 49.294904112	     ~   	9.65     	7.55     	4.45     	1.37    	M4-6e          	 135	   0
159	hip 114404 	V* V345 Peg                        	LongPeriodV*          	23 10 08.8725528072 +33 46 04.143008280	9.440    	8.280    	6.800    	     ~   	     ~  	M3             	  24	   0
160	hip 114114 	V* R Peg                           	Mira                  	23 06 39.1661885712 +10 32 36.080828808	9.43     	9.07     	7.79     	4.87     	2.35    	M6-8.5e        	 221	   0
161	hip 38580  	V* OR Pup                          	LongPeriodV*_Candidate	07 53 58.6984590576 -26 20 55.723339104	9.48     	8.40     	6.85     	     ~   	     ~  	M5/6III        	  27	   0
162	hip 6191   	V* AA Cas                          	LongPeriodV*          	01 19 25.6581266232 +56 19 45.019195896	     ~   	9.93     	8.54     	     ~   	     ~  	M6III:         	  36	   0
163	hip 87818  	V* OO Her                          	LongPeriodV*          	17 56 21.2751244680 +31 07 36.618284856	     ~   	10.61    	9.35     	     ~   	     ~  	M6             	  14	   0
164	hip 56702  	V* V913 Cen                        	LongPeriodV*          	11 37 34.0560121656 -60 54 11.633554944	     ~   	7.90     	6.62     	     ~   	     ~  	M5             	  24	   0
165	hip 68137  	V* CP Vir                          	LongPeriodV*          	13 56 59.5291761216 +06 34 28.807159548	     ~   	10.05    	8.72     	     ~   	     ~  	M7             	  19	   0
166	hip 116287 	V* Z And                           	Symbiotic*            	23 33 39.9553225728 +48 49 05.974867308	8.86     	9.35     	8.00     	     ~   	     ~  	M2III+B1eq     	 517	   0
167	hip 2899   	V* V752 Cas                        	LongPeriodV*          	00 36 45.4401637296 +48 57 07.900082856	     ~   	9.91     	8.63     	     ~   	     ~  	M5             	  18	   0
168	hip 14870  	V* OU Cep                          	LongPeriodV*          	03 11 58.3446142368 +83 34 45.852773088	     ~   	10.84    	9.43     	     ~   	     ~  	M6             	  15	   0
169	hip 97594  	V* CI Cyg                          	Symbiotic*            	19 50 11.8342618008 +35 41 03.004794996	     ~   	11.97    	9.90     	     ~   	     ~  	M4.9III        	 416	   0
170	hip 38242  	MSB 31                             	C*                    	07 50 04.0498075704 -00 52 55.285179384	     ~   	12.50    	10.05    	     ~   	     ~  	C5,5J          	  28	   0
171	hip 31296  	V* KO CMa                          	LongPeriodV*          	06 33 46.1886462312 -30 34 58.285109460	     ~   	9.91     	8.61     	     ~   	     ~  	M6III          	  17	   0
172	hip 59108  	V* RW Vir                          	LongPeriodV*          	12 07 14.9021005464 -06 45 56.074133880	     ~   	8.60     	7.18     	     ~   	     ~  	M5II           	  44	   0
173	hip 8565   	V* TT Per                          	LongPeriodV*          	01 50 29.2754349216 +53 44 33.993671784	     ~   	9.49     	8.08     	     ~   	     ~  	M5II-III       	  27	   0
174	hip 114368 	V* V344 Peg                        	LongPeriodV*_Candidate	23 09 46.9070782680 +15 49 58.656600912	     ~   	11.37    	10.11    	     ~   	     ~  	M5             	   8	   0
175	hip 62374  	Ross 991                           	HighPM*               	12 47 00.9931626414 +46 37 33.371250737	     ~   	13.39    	     ~   	11.376   	     ~  	M2.5V          	  41	   0
176	hip 70188  	V* NO Vir                          	LongPeriodV*          	14 21 34.9635282144 -02 23 08.183971932	     ~   	9.86     	8.52     	     ~   	     ~  	M5III          	  17	   0
177	hip 78781  	V* LN Lup                          	LongPeriodV*          	16 05 01.1082098664 -39 13 00.261582168	     ~   	9.35     	7.88     	     ~   	     ~  	M5III          	  18	   1
178	hip 97935  	V* V344 Tel                        	LongPeriodV*          	19 54 13.5147867312 -49 27 42.291156852	     ~   	10.05    	8.82     	     ~   	     ~  	M6III          	  11	   0
179	hip 882    	V* V343 And                        	LongPeriodV*          	00 10 47.1993620664 +32 14 33.265024404	     ~   	8.99     	7.67     	     ~   	     ~  	M7             	  15	   0
180	hip 39967  	V* AS Pup                          	Mira                  	08 09 39.8063901192 -38 10 28.589281068	     ~   	10.66    	9.751    	     ~   	     ~  	M7-9e          	  44	   0
181	hip 1627   	V* BO Phe                          	LongPeriodV*          	00 20 20.1651688560 -57 09 48.158275536	     ~   	10.60    	9.22     	     ~   	     ~  	M4/5III        	  14	   0
182	hip 21086  	LP 715-51                          	**                    	04 31 09.0387316632 -13 30 52.628336784	14.229   	13.06    	11.536   	10.489   	9.209   	M2.5V          	  21	   0
183	hip 59588  	V* V335 Hya                        	LongPeriodV*          	12 13 12.9443867928 -34 07 30.997867620	     ~   	7.92     	6.47     	     ~   	     ~  	M5.5SIII:      	  51	   0
184	hip 73213  	V* FY Lib                          	LongPeriodV*          	14 57 46.5477035016 -12 26 15.326281032	     ~   	8.63     	7.23     	     ~   	     ~  	M5III          	  57	   0
185	hip 85065  	V* V949 Her                        	LongPeriodV*          	17 23 05.2928742000 +25 25 35.063908968	     ~   	10.69    	9.42     	     ~   	     ~  	~              	  11	   0
186	hip 113930 	V* EQ Aqr                          	LongPeriodV*          	23 04 17.1980725032 -16 00 35.795724264	     ~   	10.70    	9.37     	     ~   	     ~  	M3/4           	  14	   0
187	hip 80194  	BD+18 3167B                        	Star                  	16 22 17.0894465208 +18 32 02.059115460	     ~   	11.65    	10.74    	     ~   	     ~  	~              	  11	   0
188	hip 10384  	HIP 10384                          	Star                  	02 13 43.5100033152 +57 28 09.784583724	     ~   	12.29    	10.95    	     ~   	     ~  	~              	   7	   0
189	hip 19488  	BD+57 778                          	**                    	04 10 28.6641829632 +57 51 04.745464488	     ~   	11.67    	9.55     	     ~   	     ~  	M3II           	  11	   0
190	hip 52565  	V* PZ Hya                          	LongPeriodV*          	10 44 48.9119990592 -24 04 55.678778076	     ~   	11.66    	10.41    	     ~   	     ~  	M              	  13	   0
191	hip 114489 	V* DL Psc                          	LongPeriodV*          	23 11 14.0752661712 +05 00 15.570259272	9.480    	8.170    	6.530    	     ~   	     ~  	M6III          	  26	   0
192	hip 8521   	V* AQ Cet                          	LongPeriodV*          	01 49 54.6229934040 -04 51 34.450921008	     ~   	9.76     	8.45     	     ~   	     ~  	M4III          	  20	   0
193	hip 61722  	G 123-49                           	**                    	12 39 04.6979747662 +47 02 23.059008442	     ~   	13.67    	12.207   	11.757   	     ~  	M2.5Ve         	  38	   0
194	hip 79551  	* sig CrB C                        	HighPM*               	16 13 56.2675564113 +33 46 24.096602346	     ~   	13.2     	14.314   	11.936   	     ~  	M2.5V          	  63	   0
195	hip 105303 	V* FZ Cep                          	LongPeriodV*          	21 19 42.7748309160 +55 27 00.257545620	     ~   	8.74     	7.32     	     ~   	     ~  	M6III          	  27	   0
196	hip 78771  	V* TW Nor                          	ClassicalCep          	16 04 55.2261513912 -51 57 12.653328096	     ~   	13.67    	11.17    	     ~   	     ~  	~              	 158	   0
197	hip 71490  	V* R Boo                           	Mira                  	14 37 11.5761577632 +26 44 11.656214052	     ~   	9.77     	6.20     	     ~   	     ~  	M4-8e          	 170	   0
198	hip 107196 	V* VX Peg                          	LongPeriodV*          	21 42 44.6954925936 +22 28 34.490850060	     ~   	10.62    	9.11     	     ~   	     ~  	~              	  15	   0
199	hip 103553 	V* V387 Pav                        	LongPeriodV*          	20 58 47.5124729424 -61 48 41.114540844	     ~   	10.32    	9.04     	     ~   	     ~  	M6/7III        	  12	   0
200	hip 110256 	* eps Oct                          	LongPeriodV*          	22 20 01.6796965 -80 26 23.094730      	     ~   	6.433    	5.177    	     ~   	     ~  	M5III          	  61	   0
201	hip 32647  	V* EP Cam                          	LongPeriodV*          	06 48 37.4603109240 +76 59 24.074712852	     ~   	9.33     	8.05     	     ~   	     ~  	M6             	  15	   0
202	hip 84680  	V* V818 Her                        	LongPeriodV*          	17 18 41.3763159504 +43 36 32.949324072	     ~   	9.93     	8.67     	     ~   	     ~  	~              	  19	   0
203	hip 24549  	V* UX Aur                          	LongPeriodV*          	05 15 57.8831715192 +49 32 47.245356744	     ~   	10.13    	8.58     	     ~   	     ~  	M5III          	  25	   0
204	hip 46385  	G 195-27                           	HighPM*               	09 27 30.5642044800 +50 39 12.451791996	     ~   	     ~   	     ~   	11.554   	     ~  	M2.5V          	  32	   0
205	hip 2960   	V* BS Phe                          	LongPeriodV*          	00 37 36.9498268296 -55 39 36.640144728	     ~   	10.02    	10.20    	     ~   	     ~  	M6III          	  19	   0
206	hip 19517  	V* SW Per                          	LongPeriodV*          	04 10 51.9222886536 +42 12 34.536692736	     ~   	10.47    	8.90     	     ~   	     ~  	M5III          	  27	   0
207	hip 14605  	V* AF For                          	LongPeriodV*          	03 08 37.5214923240 -26 26 46.905743184	     ~   	9.82     	8.62     	     ~   	     ~  	M5III          	  15	   0
208	hip 43438  	V* RS Cam                          	LongPeriodV*          	08 50 49.5756494664 +78 57 41.412045888	     ~   	9.99     	8.73     	11.9     	     ~  	M4III          	  30	   0
209	hip 110972 	V* S Lac                           	Mira                  	22 29 00.9084820392 +40 18 55.856923596	     ~   	10.18    	7.60     	     ~   	     ~  	M4-6.5e        	  88	   0
210	hip 15530  	V* UZ Per                          	LongPeriodV*          	03 20 05.9880131928 +32 01 17.981078880	     ~   	10.65    	8.90     	     ~   	     ~  	M5II-III       	  37	   0
211	hip 24169  	V* RX Lep                          	AGB*                  	05 11 22.8716317615 -11 50 56.713575585	8.37     	7.14     	5.68     	     ~   	     ~  	M6III          	 101	   0
212	hip 40593  	V* SV Pup                          	Mira                  	08 17 16.6479442704 -13 48 30.476974752	     ~   	11.59    	10.57    	11.55    	9.00    	M5.5e          	  34	   0
213	hip 86588  	V* V963 Her                        	LongPeriodV*          	17 41 44.4559897704 +39 59 11.368211208	     ~   	10.91    	9.56     	     ~   	     ~  	M5             	   8	   0
214	hip 101156 	V* KN Aql                          	LongPeriodV*          	20 30 15.2144759832 +01 52 36.709719528	     ~   	10.54    	9.11     	     ~   	     ~  	M4/5III        	  31	   0
215	hip 12557  	V* W Tri                           	LongPeriodV*          	02 41 30.5700362472 +34 30 57.974434992	     ~   	9.40     	7.91     	     ~   	     ~  	M5III          	  34	   0
216	hip 84213  	V* TT Dra                          	LongPeriodV*          	17 12 52.2991567968 +57 51 45.468129168	     ~   	10.56    	9.33     	7.79     	     ~  	M5             	  30	   0
217	hip 111679 	AG+38 2343                         	Star                  	22 37 26.8487868264 +38 55 01.727873976	     ~   	10.84    	9.37     	     ~   	     ~  	~              	   5	   0
218	hip 55238  	V* V537 Car                        	LongPeriodV*          	11 18 43.7393989032 -58 11 11.086348992	     ~   	8.03     	6.70     	     ~   	     ~  	M6III          	  26	   0
219	hip 32520  	V* MR Mon                          	LongPeriodV*          	06 47 11.5227056136 +01 31 45.691897764	     ~   	10.22    	8.73     	     ~   	     ~  	M3III          	  20	   0
220	hip 84780  	V* V2113 Oph                       	LongPeriodV*_Candidate	17 19 46.5033702024 +02 08 22.345656396	     ~   	8.04     	6.55     	     ~   	     ~  	M6III          	  30	   0
221	hip 101527 	V* FG Vul                          	LongPeriodV*          	20 34 33.0364924512 +28 16 51.357388728	     ~   	10.82    	9.27     	     ~   	     ~  	M5II-III       	  38	   0
222	hip 31678  	V* AP Men                          	LongPeriodV*          	06 37 41.7344899968 -77 32 18.799022004	     ~   	9.49     	8.10     	     ~   	     ~  	M5II/III       	  14	   0
223	hip 112292 	V* RV Lac                          	LongPeriodV*          	22 44 40.9232711736 +49 43 57.251846280	     ~   	11.57    	10.26    	     ~   	     ~  	M4             	  13	   0
224	hip 31484  	V* TU Aur                          	LongPeriodV*          	06 35 37.0880938704 +45 37 23.043574056	     ~   	9.59     	8.21     	     ~   	     ~  	M5III          	  28	   0
225	hip 2596   	V* V748 Cas                        	LongPeriodV*          	00 32 58.9208011968 +48 39 29.766275424	     ~   	11.84    	10.51    	     ~   	     ~  	M8             	  10	   0
226	hip 79085  	V* V1047 Sco                       	LongPeriodV*_Candidate	16 08 35.8420236552 -20 48 26.738475048	     ~   	12.610   	11.51    	     ~   	     ~  	M6             	  16	   0
227	hip 93989  	V* V398 Lyr                        	LongPeriodV*          	19 08 13.1864386776 +39 09 17.575407864	     ~   	8.84     	7.41     	     ~   	     ~  	M3             	  26	   0
228	hip 21492  	LP 84-34                           	HighPM*               	04 36 58.4633370648 +59 21 59.890129776	     ~   	13.4     	14.492   	12.041   	     ~  	M2.5V          	  23	   0
229	hip 106653 	V* UU Cap                          	LongPeriodV*          	21 36 10.4205205416 -13 52 06.234882060	     ~   	10.66    	9.41     	     ~   	     ~  	M3/4III        	  21	   0
230	hip 13185  	V* XY Hor                          	LongPeriodV*          	02 49 40.9415363016 -52 45 30.474271404	     ~   	9.40     	8.11     	     ~   	     ~  	M5/6III        	  14	   0
231	hip 81655  	Ross 812                           	HighPM*               	16 40 48.8812776792 +36 19 00.082845840	     ~   	13.06    	11.538   	11.085   	     ~  	M2V            	  55	   0
232	hip 8968   	V* ZZ Ari                          	LongPeriodV*          	01 55 31.1707327488 +17 11 21.709818276	11.070   	9.880    	8.340    	     ~   	     ~  	M6             	  28	   0
233	hip 90417  	V* V991 Her                        	LongPeriodV*          	18 26 55.5624669288 +15 09 05.825818656	     ~   	10.73    	9.59     	     ~   	7.708   	K0             	  23	   0
234	hip 77615  	V* R Ser                           	Mira                  	15 50 41.7343255200 +15 08 01.089879792	     ~   	8.49     	7.10     	     ~   	     ~  	M5-8e          	 225	   0
235	hip 76460  	V* SY CrB                          	LongPeriodV*          	15 36 55.1668586592 +32 34 54.310965960	     ~   	10.62    	9.30     	     ~   	     ~  	M6             	  17	   0
236	hip 72432  	V* V768 Cen                        	LongPeriodV*          	14 48 38.0463379536 -36 38 04.908691464	     ~   	7.37     	6.01     	     ~   	     ~  	M5III          	  35	   0
237	hip 84763  	V* Z Oph                           	Mira                  	17 19 32.1158063448 +01 30 54.201255300	     ~   	11.29    	7.60     	9.71     	     ~  	K4-M5.5e       	  80	   0
238	hip 67984  	V* V349 Hya                        	LongPeriodV*          	13 55 19.3096252032 -26 25 57.426116088	     ~   	9.20     	7.87     	     ~   	     ~  	M5III          	  19	   0
239	hip 100051 	V* V2114 Cyg                       	LongPeriodV*          	20 17 54.4997924760 +34 05 25.221043680	     ~   	8.63     	7.34     	     ~   	     ~  	M5             	  17	   0
240	hip 101282 	V* AI Cyg                          	LongPeriodV*          	20 31 45.2320324152 +32 31 21.219008196	     ~   	10.18    	8.75     	     ~   	     ~  	M6III:         	  30	   0
241	hip 81747  	V* AX Sco                          	LongPeriodV*          	16 41 49.7506273488 -27 06 19.383320088	     ~   	10.09    	8.53     	     ~   	     ~  	M5III          	  46	   0
242	hip 60694  	V* SS Dra                          	LongPeriodV*          	12 26 20.9065276128 +68 41 17.011557528	     ~   	10.90    	9.66     	     ~   	     ~  	M5III          	  19	   0
243	hip 91373  	V* XY Lyr                          	LongPeriodV*          	18 38 06.4762596528 +39 40 05.975752044	9.09     	7.67     	6.05     	3.84     	1.88    	M4.5-M5+II     	 122	   0
244	hip 71802  	V* RW Boo                          	LongPeriodV*          	14 41 13.3762067784 +31 34 19.711947072	10.23    	9.34     	8.00     	     ~   	     ~  	M5III:         	  58	   0
245	hip 84023  	BD-13 4558                         	**                    	17 10 32.7516347040 -13 42 57.454032708	     ~   	11.23    	9.57     	     ~   	     ~  	K0             	   7	   0
246	hip 90436  	HD 169891                          	**                    	18 27 08.7154830984 -08 52 43.126937256	     ~   	11.10    	9.09     	     ~   	     ~  	K2(III)        	   8	   0
247	hip 55283  	V* V903 Cen                        	LongPeriodV*          	11 19 21.1544257920 -45 05 35.792287260	     ~   	9.39     	8.01     	     ~   	     ~  	M4/5Ib/II      	  14	   0
248	hip 13064  	V* Z Eri                           	LongPeriodV*          	02 47 55.9221088152 -12 27 38.321064756	9.83     	8.46     	6.90     	     ~   	     ~  	M5III          	 110	   0
249	hip 7993   	[PS78] 274                         	Star                  	01 42 39.1266916752 -24 37 39.676430604	     ~   	13.51    	14.000   	11.59    	     ~  	M3             	   9	   0
250	hip 47395  	G 117-34                           	HighPM*               	09 39 24.2879897177 +31 45 16.982846445	     ~   	13.39    	11.84    	11.42    	     ~  	M1.5V          	  20	   0
251	hip 96204  	V* V450 Aql                        	LongPeriodV*          	19 33 46.0320196104 +05 27 56.529751716	     ~   	8.00     	6.48     	     ~   	     ~  	M5-M5.5III     	  57	   0
252	hip 102844 	V* NO Del                          	LongPeriodV*          	20 50 04.7711637432 +16 59 04.694872524	     ~   	10.98    	9.51     	     ~   	     ~  	M3             	  12	   0
253	hip 8513   	HIP 8513                           	**                    	01 49 48.0617214048 +60 47 36.775593204	     ~   	12.42    	10.65    	     ~   	     ~  	~              	   9	   0
254	hip 44481  	V* UX Lyn                          	LongPeriodV*          	09 03 47.1074751120 +38 44 31.650117252	     ~   	8.16     	6.81     	     ~   	     ~  	M3             	  37	   0
255	hip 56724  	V* IW Vir                          	LongPeriodV*          	11 37 48.0454723752 +04 19 23.834701632	     ~   	10.92    	9.54     	9.47     	     ~  	M5             	  15	   0
256	hip 36945  	V* EY Cam                          	LongPeriodV*          	07 35 41.5377998040 +67 27 09.798968052	     ~   	10.25    	8.96     	     ~   	     ~  	M5             	  11	   0
257	hip 16775  	V* CS Hyi                          	Mira                  	03 35 53.0033386608 -69 11 34.758870360	     ~   	10.28    	8.79     	     ~   	     ~  	M5III          	  16	   0
258	hip 78501  	IRAS 15576-5407                    	**                    	16 01 32.2346322552 -54 16 14.875012596	     ~   	12.51    	10.17    	9.88     	     ~  	~              	   8	   0
259	hip 73803  	HIP 73803                          	Star                  	15 05 05.9785991136 +79 03 36.669807791	     ~   	12.761   	11.749   	11.780   	     ~  	~              	   7	   0
260	hip 107376 	G 215-12                           	HighPM*               	21 44 53.9917638996 +44 17 08.908708169	     ~   	12.61    	11.342   	10.919   	9.25    	M2+V           	  41	   0
261	hip 39433  	V* SV Lyn                          	LongPeriodV*          	08 03 39.9438604632 +36 20 41.549730540	     ~   	8.43     	7.04     	     ~   	     ~  	M5III:         	  42	   0
262	hip 85270  	GSC 06234-01790                    	**                    	17 25 24.7269826484 -16 42 44.690988310	     ~   	13.100   	11.361   	10.921   	     ~  	~              	   6	   0
263	hip 26223  	V* V1376 Ori                       	LongPeriodV*          	05 35 16.6605994272 +08 42 02.664673524	     ~   	8.70     	7.31     	     ~   	     ~  	M5             	  21	   0
264	hip 88722  	V* V982 Her                        	LongPeriodV*          	18 06 47.5037126976 +43 27 06.654928068	     ~   	8.71     	7.44     	     ~   	     ~  	~              	  15	   0
265	hip 98270  	V* PX Aql                          	LongPeriodV*          	19 58 02.5293472056 -09 13 28.440290820	     ~   	12.13    	10.33    	9.15     	     ~  	M2e            	  17	   0
266	hip 69285  	CD-30 11219                        	HighPM*               	14 10 57.4606723426 -31 17 25.172424409	13.601   	12.341   	10.825   	9.848    	8.728   	M2V            	  21	   0
267	hip 80432  	V* BE Her                          	LongPeriodV*          	16 25 04.9901029728 +29 15 03.961264392	     ~   	10.38    	9.01     	     ~   	     ~  	M3             	  21	   0
268	hip 30701  	V* SW Mon                          	LongPeriodV*          	06 27 00.9759499560 +05 22 43.790629584	     ~   	11.44    	10.07    	     ~   	     ~  	M5III          	  30	   0
269	hip 63175  	V* V Cru                           	C*                    	12 56 35.5591929024 -57 53 57.015504924	19.10    	15.01    	9.81     	     ~   	     ~  	C              	  45	   0
270	hip 3129   	V* TW Psc                          	LongPeriodV*          	00 39 46.0013546928 +14 12 01.220350896	     ~   	10.65    	9.29     	     ~   	     ~  	M8             	  24	   0
271	hip 53944  	V* FF Leo                          	LongPeriodV*          	11 02 15.8222714520 +04 11 57.212811168	     ~   	11.23    	9.89     	     ~   	     ~  	M5             	   9	   0
272	hip 85904  	V* V955 Her                        	LongPeriodV*_Candidate	17 33 17.0099161920 +41 47 05.640419364	     ~   	11.56    	10.09    	     ~   	     ~  	M8             	   9	   0
273	hip 75143  	V* S CrB                           	Mira                  	15 21 23.9553294936 +31 22 02.584877304	7.51     	7.15     	5.80     	8.12     	     ~  	M6.5-8e        	 344	   0
274	hip 33100  	V* BR Lyn                          	LongPeriodV*          	06 53 38.0575700952 +61 00 56.080308348	     ~   	9.51     	8.01     	     ~   	     ~  	M6             	  16	   0
275	hip 44846  	V* V UMa                           	LongPeriodV*          	09 08 14.4048217968 +51 06 49.346935704	     ~   	11.7     	10.3     	     ~   	     ~  	M5             	  22	   0
276	hip 5976   	V* V763 Cas                        	LongPeriodV*          	01 16 47.8792598208 +75 12 02.244816612	     ~   	10.07    	8.61     	     ~   	     ~  	M2             	  17	   0
277	hip 45373  	V* AO Pyx                          	LongPeriodV*          	09 14 47.6480509128 -33 40 56.511285780	     ~   	10.23    	8.79     	     ~   	     ~  	M5/6III        	  15	   0
278	hip 73526  	V* IV Lup                          	LongPeriodV*          	15 01 43.2476472768 -45 49 32.062384740	     ~   	9.84     	8.47     	     ~   	     ~  	M6III          	  14	   0
279	hip 69018  	CPD-53 5879                        	Star                  	14 07 44.5782134856 -53 41 27.925768428	     ~   	9.80     	7.82     	     ~   	     ~  	M1:            	  11	   0
280	hip 85820  	V* V863 Ara                        	LongPeriodV*          	17 32 10.4848828296 -51 04 26.751331092	     ~   	9.40     	8.19     	     ~   	     ~  	M4/5           	  25	   0
281	hip 8817   	Wolf 93                            	HighPM*               	01 53 20.7444906864 +23 26 41.181137988	     ~   	13.6     	14.640   	12.095   	     ~  	~              	  26	   0
282	hip 84329  	V* UW Her                          	LongPeriodV*          	17 14 24.5394467448 +36 22 04.463019336	     ~   	9.31     	8.60     	     ~   	     ~  	M5e            	  34	   0
283	hip 51847  	V* AW Ant                          	LongPeriodV*          	10 35 32.3513009232 -36 23 12.163490448	     ~   	10.54    	9.06     	     ~   	     ~  	G5             	  14	   0
284	hip 92862  	* 13 Lyr                           	LongPeriodV*          	18 55 20.1022285 +43 56 45.931489      	7.00     	5.59     	4.00     	1.95     	0.04    	M4.5III        	 312	   1
285	hip 70587  	HIP 70587                          	Star                  	14 26 19.9078410552 -51 44 17.879155548	     ~   	13.89    	11.62    	     ~   	     ~  	~              	   8	   0
286	hip 60106  	V* R Crv                           	Mira                  	12 19 37.8707040720 -19 15 21.862298268	     ~   	10.4     	6.70     	9.28     	     ~  	M4.5-9:e       	  86	   0
287	hip 65841  	V* KS Com                          	LongPeriodV*          	13 29 47.7294191568 +27 40 29.966434320	     ~   	10.18    	8.85     	     ~   	     ~  	M5             	  10	   0
288	hip 16503  	V* RZ For                          	Mira                  	03 32 26.6713420920 -25 39 30.596863788	     ~   	9.63     	9.20     	     ~   	     ~  	M6III          	  28	   0
289	hip 96350  	V* HW Dra                          	LongPeriodV*          	19 35 24.1733684472 +69 48 19.717050384	     ~   	8.50     	7.13     	     ~   	     ~  	M3             	  22	   0
290	hip 44675  	V* NR Hya                          	LongPeriodV*_Candidate	09 06 16.7579125632 -00 59 50.819862588	     ~   	11.26    	     ~   	     ~   	     ~  	M8             	  10	   0
291	hip 5267   	HD 6884                            	BlueSG                	01 07 18.2182685856 -72 28 03.657105156	     ~   	10.32    	10.2     	     ~   	     ~  	B9Ia0ek        	 122	   0
292	hip 43835  	V* T Hya                           	Mira                  	08 55 39.8442225576 -09 08 29.353573068	     ~   	12.10    	10.57    	10.66    	     ~  	M4-7.5:e       	  88	   0
293	hip 90249  	Ross 710                           	HighPM*               	18 24 52.5445481280 +28 17 21.846750720	     ~   	     ~   	12.14    	11.630   	     ~  	M1.5V          	  22	   0
294	hip 106077 	V* CL Gru                          	LongPeriodV*          	21 29 13.8476940840 -41 24 57.322661472	     ~   	10.36    	8.96     	9.27     	8.86    	M4III          	  10	   0
295	hip 72896  	Ross 52                            	**                    	14 53 51.3995797260 +23 33 21.021498605	14.261   	13.246   	11.663   	10.488   	8.973   	M3V            	  78	   0
296	hip 59368  	CD-51 6437                         	**                    	12 10 48.3982793544 -51 48 16.466633064	     ~   	10.98    	9.61     	     ~   	     ~  	F5             	   8	   0
297	hip 52553  	V* EW Leo                          	LongPeriodV*          	10 44 40.3938195792 +19 25 22.738901628	     ~   	10.92    	9.71     	     ~   	     ~  	M5             	  10	   0
298	hip 88976  	LP 334-11                          	RotV*                 	18 09 40.7147536080 +31 52 12.853363908	     ~   	     ~   	     ~   	10.928   	     ~  	M1V            	  24	   0
299	hip 52265  	V* GV UMa                          	LongPeriodV*_Candidate	10 40 47.1486703776 +56 31 31.152057312	     ~   	10.86    	9.60     	     ~   	     ~  	M5             	   9	   0
300	hip 86439  	V* V961 Her                        	LongPeriodV*          	17 39 42.0657247728 +16 33 36.297500400	     ~   	10.78    	9.37     	     ~   	     ~  	M5             	   8	   0
301	hip 13384  	V* RR Eri                          	LongPeriodV*          	02 52 14.1850966152 -08 16 01.430627268	     ~   	8.59     	7.16     	     ~   	     ~  	M5III          	  54	   0
302	hip 19551  	HD 26158                           	**                    	04 11 14.4896278872 +55 54 37.822300884	     ~   	9.53     	7.73     	     ~   	     ~  	K4III          	  13	   0
303	hip 12302  	V* YZ Per                          	RedSG                 	02 38 25.4198516592 +57 02 46.194337896	14.96    	12.37    	10.01    	     ~   	     ~  	M1Iab          	  97	   0
304	hip 69981  	V* EY Vir                          	LongPeriodV*          	14 19 11.7207115944 -13 25 53.462772084	     ~   	9.90     	8.56     	     ~   	     ~  	M4/5III        	  22	   0
305	hip 98670  	CD-29 16737                        	LongPeriodV*_Candidate	20 02 28.6609393248 -29 16 59.343225708	     ~   	10.83    	9.52     	     ~   	     ~  	~              	   7	   0
306	hip 103417 	V* NR Del                          	LongPeriodV*          	20 57 11.2345361136 +16 15 05.070651588	     ~   	8.97     	7.57     	     ~   	     ~  	M7             	  13	   0
307	hip 100599 	V* V865 Aql                        	S*                    	20 23 54.6411734328 +00 56 44.789503128	     ~   	11.63    	10.35    	7.86     	     ~  	S7,2           	  46	   0
308	hip 17821  	V* BR Eri                          	LongPeriodV*          	03 48 47.5279017456 -07 00 53.913087864	     ~   	8.60     	7.15     	     ~   	     ~  	M5V            	  33	   0
309	hip 58802  	V* QW Hya                          	LongPeriodV*          	12 03 38.7668559216 -32 24 39.168192384	     ~   	10.92    	9.30     	     ~   	     ~  	M3III          	  18	   0
