C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:22:38

 IdentList
----------

 # 	typed ident	            identifier             	         typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	 Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	----------------------	---------------------------------------	---------	---------	---------	---------	--------	---------------	----	----
35 	hip 97465  	V* WX Aql                          	LongPeriodV*          	19 48 37.2286737264 +03 41 49.446993120	     ~   	11.19    	9.99     	     ~   	     ~  	M6             	  27	   0
36 	hip 101810 	V* EU Del                          	LongPeriodV*          	20 37 54.7276970976 +18 16 06.894742044	8.42     	7.38     	5.89     	3.24     	0.97    	M6III          	 175	   0
37 	hip 68357  	V* RW CVn                          	LongPeriodV*          	13 59 33.4689506184 +37 11 50.313181560	     ~   	10.28    	9.03     	     ~   	     ~  	M7III:         	  28	   0
38 	hip 64569  	V* SW Vir                          	AGB*                  	13 14 04.3830437280 -02 48 25.130666916	9.24     	8.52     	6.85     	     ~   	     ~  	M7III:         	 259	   0
39 	hip 30945  	V* V Lyn                           	LongPeriodV*          	06 29 40.9266528672 +61 32 33.390419424	     ~   	10.71    	9.38     	     ~   	     ~  	M5III-IV       	  24	   0
40 	hip 16328  	V* RU Per                          	LongPeriodV*          	03 30 30.2814448416 +39 39 29.222690472	     ~   	11.94    	10.58    	     ~   	     ~  	M4             	  30	   0
41 	hip 536    	V* TT Peg                          	Mira                  	00 06 29.2723059288 +27 05 24.394467624	     ~   	11.19    	9.84     	8.9      	     ~  	M3             	  28	   0
42 	hip 77023  	V* FQ Lup                          	LongPeriodV*_Candidate	15 43 33.6114415776 -37 10 10.163263476	     ~   	10.00    	8.58     	     ~   	     ~  	M5/6(II)       	  19	   0
43 	hip 97586  	V* GY Aql                          	Mira                  	19 50 06.3301987896 -07 36 52.465065516	     ~   	12.54    	11.22    	     ~   	     ~  	M8             	 114	   0
44 	hip 55639  	V* T Crt                           	LongPeriodV*          	11 23 53.0053929384 -19 54 30.262570776	     ~   	10.00    	8.79     	     ~   	     ~  	M6III          	  30	   0
45 	hip 49657  	V* DD Leo                          	LongPeriodV*          	10 08 14.8587686304 +17 21 30.909137472	     ~   	10.41    	9.28     	     ~   	     ~  	M8             	  22	   0
46 	hip 116705 	V* SV Cas                          	Mira                  	23 39 01.4249385000 +52 15 44.861764932	     ~   	9.79     	8.54     	     ~   	     ~  	M5             	  42	   0
47 	hip 109610 	V* RS Peg                          	Mira                  	22 12 16.1795624256 +14 33 12.257020296	     ~   	12.10    	8.20     	12.51    	     ~  	M6e            	  64	   0
48 	hip 96647  	V* BG Cyg                          	Mira                  	19 38 57.7391128248 +28 30 46.632117384	     ~   	11.66    	10.62    	8.36     	     ~  	M8e            	  81	   0
49 	hip 86836  	V* Z Oct                           	Mira                  	17 44 36.5922552096 -86 29 10.608273672	     ~   	12.96    	11.53    	     ~   	     ~  	~              	  25	   0
50 	hip 105562 	V* V1070 Cyg                       	LongPeriodV*          	21 22 48.6042369456 +40 55 57.180084924	     ~   	8.325    	7.155    	     ~   	     ~  	M7III          	  41	   0
51 	hip 10248  	V* CI Hyi                          	LongPeriodV*          	02 11 48.9069952080 -71 29 02.588123508	     ~   	10.55    	9.32     	     ~   	     ~  	M5/7(III)      	  19	   0
52 	hip 19004  	V* V Eri                           	AGB*                  	04 04 18.8000912980 -15 43 30.499742695	     ~   	10.405   	9.146    	8.912    	     ~  	M7+II:         	  84	   0
53 	hip 64267  	V* SY CVn                          	LongPeriodV*          	13 10 20.3169322608 +47 02 28.051910196	     ~   	11.04    	9.86     	     ~   	     ~  	~              	  21	   0
54 	hip 21464  	V* UU Eri                          	LongPeriodV*          	04 36 33.9315744192 -27 34 43.260279960	     ~   	11.13    	9.80     	     ~   	     ~  	M7             	  24	   0
55 	hip 8574   	V* DH Cet                          	LongPeriodV*          	01 50 33.9615402072 -17 39 00.367011576	     ~   	11.77    	10.49    	     ~   	     ~  	M5             	  21	   0
56 	hip 57504  	V* AZ UMa                          	LongPeriodV*          	11 47 13.8036159360 +43 28 15.933812664	     ~   	10.02    	8.74     	     ~   	     ~  	M6III          	  49	   0
57 	hip 20045  	V* RS Eri                          	Mira                  	04 17 55.3683124296 -18 30 25.417880316	     ~   	11.87    	10.92    	     ~   	     ~  	M7             	  34	   0
