C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:33:38

 IdentList
----------

 # 	typed ident	            identifier             	          typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	-----------------------	---------------------------------------	---------	---------	---------	---------	---------	---------------	----	----
36 	hip 79614  	BD+16 2910                         	Double or Multiple Star	16 14 45.4983199 +16 00 24.528749      	     ~   	9.904    	9.314    	9.293    	     ~   	F8             	  13	   0
37 	hip 108893 	HD 209385                          	Eclipsing Binary       	22 03 27.89760 -21 42 05.8721          	     ~   	9.918    	9.847    	9.882    	     ~   	A2mA6-F3       	  15	   0
38 	hip 104662 	HD 201452                          	Double or Multiple Star	21 12 00.27104 -57 37 25.8770          	     ~   	9.938    	9.335    	9.549    	     ~   	F0V            	   8	   0
39 	hip 51171  	HD 90483A                          	High Proper Motion Star	10 27 08.4078582384 +18 03 44.640903168	     ~   	10.26    	9.39     	9.300    	     ~   	G7V            	  24	   0
40 	hip 102396 	HD 197322                          	Double or Multiple Star	20 44 57.56828 -50 29 16.5294          	     ~   	     ~   	     ~   	     ~   	     ~   	A0IV/V         	  11	   0
41 	hip 48131  	HD 85100                           	Double or Multiple Star	09 48 45.2402759 -35 01 12.731616      	     ~   	     ~   	     ~   	     ~   	     ~   	A9IV/V         	  17	   0
42 	hip 88762  	HD 312644                          	Double or Multiple Star	18 07 12.95592 -18 54 20.5732          	     ~   	     ~   	     ~   	10.089   	9.19     	K0             	   7	   0
43 	hip 39097  	GSC 03410-02046                    	Double or Multiple Star	07 59 53.89309 +49 30 35.9934          	     ~   	     ~   	     ~   	     ~   	     ~   	F8             	   9	   0
44 	hip 38787  	HD 65424                           	Carbon Star            	07 56 20.8068826896 -49 58 55.062788088	     ~   	11.2     	7.78     	     ~   	     ~   	C-N4.5         	  38	   0
45 	hip 11870  	HD 15641                           	Double or Multiple Star	02 33 08.63801 +58 27 44.0724          	     ~   	     ~   	     ~   	     ~   	     ~   	A3III          	  18	   0
