C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.27CEST09:59:15

 IdentList
----------

 # 	typed ident	            identifier             	             typ              	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	   spec. type    	#bib	#not
---	-----------	-----------------------------------	------------------------------	---------------------------------------	---------	---------	---------	---------	---------	-----------------	----	----
158	hip 2285   	V* V352 And                        	Long-Period Variable Candidate	00 29 11.1440968032 +44 59 42.207912276	     ~   	10.58    	9.03     	     ~   	     ~   	M0               	  10	   0
159	hip 7647   	V* SW Cet                          	Long-Period Variable          	01 38 30.0595764144 +01 21 40.328329572	     ~   	11.21    	9.94     	     ~   	     ~   	M5               	  25	   0
160	hip 8074   	BD+61 315                          	Star                          	01 43 43.3641861912 +61 50 03.561800856	10.8     	10.32    	9.54     	     ~   	     ~   	A0Ib/II          	  40	   1
161	hip 8312   	V* BY Cas                          	Classical Cepheid Variable    	01 47 11.9194002672 +61 25 20.954139708	     ~   	11.5     	10.369   	     ~   	     ~   	F5               	 124	   0
162	hip 9804   	EM* AS 53                          	Be Star                       	02 06 08.5587416304 +63 22 11.812630116	10.10    	10.70    	10.24    	     ~   	     ~   	B0.5:ep          	  32	   1
163	hip 10078  	HD 13036                           	Pulsating Variable            	02 09 37.8374656680 +59 37 13.410047136	8.67     	8.91     	8.51     	     ~   	     ~   	B0.5:III:        	  48	   0
164	hip 10147  	BD+63 300                          	Be Star                       	02 10 30.9435048744 +64 05 31.147458180	9.69     	10.21    	9.82     	     ~   	     ~   	Bpe              	  30	   0
165	hip 10904  	V* V605 Cas                        	Red Supergiant                	02 20 22.4632763112 +59 40 16.904099784	13.41    	10.80    	8.36     	6.42     	4.85     	M2Iab            	  69	   0
166	hip 10908  	HIP 10908                          	Star                          	02 20 23.4654064560 +81 31 46.015191732	     ~   	     ~   	     ~   	11.43    	     ~   	~                	   6	   0
167	hip 11093  	V* S Per                           	Red Supergiant                	02 22 51.7113133056 +58 35 11.422774248	13.22    	10.55    	7.90     	     ~   	     ~   	M4.5-7Iae        	 371	   0
168	hip 11217  	HD 14888                           	Double or Multiple Star       	02 24 22.60622 +11 30 06.7500          	     ~   	     ~   	     ~   	     ~   	     ~   	F0               	  22	   0
169	hip 11510  	HIP 11510                          	Star                          	02 28 23.4648167754 +42 47 55.989272596	     ~   	     ~   	     ~   	12.133   	     ~   	~                	   8	   0
170	hip 11625  	HD 15316                           	Evolved Supergiant            	02 29 58.5567374712 +57 49 14.566545840	8.42     	8.00     	7.23     	6.52     	5.84     	A2Iab            	  92	   0
171	hip 11714  	HIP 11714                          	Star                          	02 31 12.1282686216 +57 09 46.903258548	     ~   	12.61    	11.12    	     ~   	     ~   	~                	   7	   0
172	hip 11841  	HD 15620                           	Blue Supergiant               	02 32 52.8764564136 +57 55 45.656557428	11.283   	9.14     	8.395    	     ~   	     ~   	B8Iab            	  49	   0
173	hip 12228  	HD 16088                           	Star                          	02 37 26.1285939864 +60 05 18.382192872	     ~   	8.34     	7.45     	     ~   	     ~   	F0Ib             	  25	   0
174	hip 12469  	LS I +61 303                       	High Mass X-ray Binary        	02 40 31.6644419688 +61 13 45.593918580	11.27    	11.61    	10.75    	10.19    	9.55     	B0Ve             	 824	   2
175	hip 12750  	HD 16778                           	Evolved Supergiant            	02 43 53.6910089184 +59 49 21.944877564	11.084   	8.54     	7.77     	     ~   	     ~   	A1Ia             	  63	   0
176	hip 13544  	AG+09 267                          	Double or Multiple Star       	02 54 25.59150 +09 46 38.7681          	     ~   	11.62    	11.12    	10.115   	     ~   	~                	  12	   0
177	hip 13573  	BD+56 739                          	Star                          	02 54 50.7852330744 +57 26 35.810085264	12.537   	10.66    	9.87     	     ~   	     ~   	O9.5Ib           	  29	   0
178	hip 13759  	BD+10 394                          	Double or Multiple Star       	02 57 07.65571 +10 48 13.6352          	     ~   	10.31    	9.86     	     ~   	     ~   	F0               	  10	   1
179	hip 15107  	CD-31 1295                         	Star                          	03 14 52.5534280344 -30 44 07.786006584	     ~   	10.934   	10.498   	10.42    	9.994    	G0               	  16	   0
180	hip 15139  	HD 237090                          	Be Star                       	03 15 10.9282856712 +59 54 42.802132752	10.651   	9.48     	9.03     	     ~   	     ~   	B0.5IV:nn        	  49	   0
181	hip 15455  	BD+45 739                          	Double or Multiple Star       	03 19 18.5205278 +45 57 04.709288      	     ~   	     ~   	     ~   	     ~   	     ~   	F0               	   9	   0
182	hip 16729  	HD 22089                           	Eclipsing Binary              	03 35 14.22031 +42 35 26.8981          	     ~   	     ~   	     ~   	     ~   	     ~   	A0               	  11	   0
183	hip 16854  	BD-18 637                          	Star                          	03 36 54.4828473936 -17 52 31.074304908	     ~   	11.18    	10.13    	     ~   	     ~   	K                	   9	   0
184	hip 17282  	BD+17 610                          	Double or Multiple Star       	03 42 01.88491 +18 12 20.5436          	     ~   	     ~   	     ~   	     ~   	     ~   	F5               	  10	   0
185	hip 18219  	HD 24276                           	Star                          	03 53 44.6011469856 +46 27 02.009926260	     ~   	9.26     	8.97     	     ~   	     ~   	A2               	  11	   0
186	hip 18338  	LS I +55 53                        	Variable Star                 	03 55 15.7343118168 +55 30 18.248147532	12.67    	12.60    	11.68    	     ~   	     ~   	B                	  13	   0
187	hip 19270  	V* SZ Cam                          	Eclipsing Binary              	04 07 49.2849421032 +62 19 58.626896088	6.82     	7.26     	6.93     	     ~   	     ~   	O9.5Vn           	 218	   1
188	hip 21400  	HD 29216                           	Star                          	04 35 37.3602545112 -09 10 29.786124216	     ~   	10.12    	8.54     	     ~   	     ~   	M1(III)          	   9	   0
189	hip 22445  	V* SV Per                          	Classical Cepheid Variable    	04 49 47.9416107648 +42 17 22.981906464	     ~   	9.74     	8.86     	     ~   	     ~   	F6-G1            	 146	   0
190	hip 22856  	NAME HD 31356AB                    	Double or Multiple Star       	04 55 03.6085209354 -00 32 43.556040413	     ~   	9.37     	9.03     	9.66     	     ~   	A7IV             	  19	   0
191	hip 23031  	HD 31502                           	Star                          	04 57 08.3818612272 +17 29 15.032986368	     ~   	9.91     	9.54     	     ~   	     ~   	A0               	  11	   0
192	hip 23210  	V* AN Aur                          	Classical Cepheid Variable    	04 59 41.5376124792 +40 50 09.726015408	     ~   	11.35    	10.21    	     ~   	     ~   	F6               	  99	   0
193	hip 24088  	HD 33448                           	Double or Multiple Star       	05 10 28.21874 +01 37 17.5588          	     ~   	     ~   	     ~   	     ~   	     ~   	A2IV             	   9	   0
194	hip 24661  	DO 29128                           	Star                          	05 17 30.8919378642 +41 40 08.028744314	     ~   	12.190   	10.115   	9.548    	     ~   	M1               	   9	   0
195	hip 24669  	BD-15 1000                         	Star                          	05 17 34.3585911144 -15 12 58.253190696	     ~   	8.46     	8.46     	     ~   	     ~   	A1V              	  13	   0
196	hip 24748  	HD 34248                           	Star                          	05 18 24.3045924744 +47 02 53.487226572	9.620    	8.850    	7.720    	     ~   	     ~   	G5               	  22	   0
197	hip 24790  	BD+48 1249A                        	Star                          	05 18 54.3599698103 +49 03 56.588574194	     ~   	9.49     	9.44     	9.491    	     ~   	A0               	   6	   0
198	hip 25012  	BD+33 1017B                        	Star                          	05 21 21.1207101480 +33 22 55.294898916	     ~   	9.50     	9.56     	     ~   	     ~   	A0               	   8	   0
199	hip 25299  	HD 287841                          	Young Stellar Object          	05 24 42.8032369656 +01 43 48.249234516	10.55    	10.45    	10.17    	9.99     	9.80     	A8V              	 107	   0
200	hip 25302  	* psi01 Ori                        	Be Star                       	05 24 44.8273848312 +01 50 47.201915688	3.83     	4.76     	4.96     	5.04     	5.26     	B1Vn             	 348	   0
201	hip 25310  	HD 35503                           	Double or Multiple Star       	05 24 48.9208672 -09 13 47.594372      	     ~   	9.57     	9.39     	     ~   	     ~   	A2IV             	  12	   1
202	hip 25762  	HD 36219                           	Double or Multiple Star       	05 30 04.38064 -01 44 58.6073          	     ~   	     ~   	     ~   	     ~   	     ~   	B8V              	  38	   0
203	hip 25822  	HD 269661                          	Evolved Supergiant            	05 30 50.0811353208 -69 31 29.399422332	9.95     	10.47    	10.34    	10.16    	10.03    	A0Ia0e:          	  56	   0
204	hip 26403  	V* BF Ori                          	Herbig Ae/Be Star             	05 37 13.2623828280 -06 35 00.568242528	10.37    	10.00    	9.69     	10.06    	9.31     	A7III            	 289	   0
205	hip 27059  	V* V351 Ori                        	Herbig Ae/Be Star             	05 44 18.7949456328 +00 08 40.410217104	9.44     	9.22     	8.87     	     ~   	     ~   	A7V              	 112	   0
206	hip 27066  	S1* 114                            	S Star                        	05 44 23.0969233440 +32 10 24.347630100	     ~   	12.86    	11.08    	     ~   	     ~   	S                	  12	   0
207	hip 27465  	HD 247901A                         	Star                          	05 48 58.6774570248 +19 04 36.413641668	     ~   	10.79    	10.76    	10.72    	     ~   	A0               	  12	   0
208	hip 27819  	HD 270296                          	Star                          	05 53 10.0266222024 -68 07 06.957439788	     ~   	11.6     	11.5     	     ~   	     ~   	B6I              	  28	   0
209	hip 29961  	MSB 17                             	Carbon Star                   	06 18 25.8528834288 -01 07 46.398675864	     ~   	12.62    	9.74     	     ~   	     ~   	C3,3             	  20	   0
210	hip 30793  	HD 45530A                          	alpha2 CVn Variable           	06 28 13.9590789408 +05 16 20.115418044	     ~   	7.556    	7.603    	8.69     	     ~   	A0IIIpSiSr       	  50	   0
211	hip 31140  	HD 46074                           	Star                          	06 31 59.8256983224 +19 55 05.864920248	     ~   	9.76     	8.30     	     ~   	     ~   	K2               	   8	   0
212	hip 31781  	SAO 218087                         	Star                          	06 38 43.1748676152 -45 03 36.215143020	     ~   	9.22     	9.22     	     ~   	     ~   	~                	   8	   0
213	hip 32119  	HD 48311                           	Star                          	06 42 32.5968673392 -09 33 59.386031280	     ~   	8.57     	8.51     	     ~   	     ~   	A0III/IV         	  14	   0
214	hip 32825  	HIP 32825                          	Star                          	06 50 35.1922211496 -48 30 34.221773772	     ~   	12.875   	11.814   	     ~   	     ~   	~                	  11	   0
215	hip 33369  	V* BG Mon                          	Carbon Star                   	06 56 22.8081987912 +07 04 39.910159992	     ~   	12.07    	9.20     	     ~   	     ~   	C5,2             	  38	   0
216	hip 33569  	BD-11 1714B                        	Star                          	06 58 29.3162693664 -11 25 51.127120452	     ~   	10.71    	9.53     	     ~   	     ~   	A2               	  10	   0
217	hip 33877  	HD 289531                          	Star                          	07 01 56.3132439024 +00 49 39.939180780	     ~   	10.72    	10.72    	     ~   	     ~   	B9               	  11	   0
218	hip 35039  	BD-01 1612                         	Double or Multiple Star       	07 14 50.08711 -01 22 32.5608          	     ~   	     ~   	     ~   	     ~   	     ~   	K0/1III+A1/2V    	  19	   0
219	hip 35111  	CPD-62 805                         	Star                          	07 15 35.9842300752 -63 10 28.805444184	     ~   	11.15    	10.46    	     ~   	     ~   	~                	  11	   0
220	hip 35281  	V* AA CMi                          	RR Lyrae Variable             	07 17 19.1688267648 +01 43 40.045234872	     ~   	11.61    	11.64    	     ~   	     ~   	kF8hF7           	  55	   0
221	hip 36775  	HD 60687                           	Variable Star                 	07 33 50.2490206104 -43 06 49.428840708	     ~   	8.39     	6.65     	     ~   	     ~   	M1III            	  12	   0
222	hip 36816  	HIP 36816                          	Star                          	07 34 18.5175279024 -55 57 44.117839656	     ~   	12.650   	14.602   	     ~   	     ~   	~                	   8	   0
223	hip 36902  	BD-18 1920                         	Star                          	07 35 13.9446762720 -18 47 57.161946876	10.58    	11.06    	10.41    	10.32    	     ~   	OB               	  26	   0
224	hip 37805  	V* TW Lyn                          	RR Lyrae Variable             	07 45 06.3012265872 +43 06 41.577305436	     ~   	12.52    	11.69    	     ~   	     ~   	kA6hF6           	  71	   0
225	hip 37905  	CPD-49 1353                        	Star                          	07 46 03.5689562313 -49 31 57.478481616	     ~   	10.50    	10.06    	10.451   	     ~   	~                	   8	   0
226	hip 38095  	CD-23 6243                         	Star                          	07 48 22.9271469888 -23 40 00.308357364	     ~   	11.88    	11.78    	     ~   	     ~   	A0V              	   9	   0
227	hip 39118  	C* 978                             	Carbon Star                   	08 00 12.2182265376 -04 45 28.454841000	     ~   	13.16    	11.21    	     ~   	     ~   	C2:,2:           	  17	   0
228	hip 40425  	BD+05 1918B                        	Star                          	08 15 15.6386683032 +05 33 15.545702736	     ~   	11.23    	11.32    	     ~   	     ~   	~                	   9	   0
229	hip 40546  	V* W Lyn                           	Mira Variable                 	08 16 46.8544906704 +40 07 53.190626304	     ~   	     ~   	     ~   	9.76     	     ~   	M6               	  25	   0
230	hip 41545  	HIP 41545                          	Star                          	08 28 18.6899551412 -44 31 19.906284417	     ~   	     ~   	     ~   	12.366   	     ~   	~                	   8	   0
231	hip 42014  	C* 1211                            	Long-Period Variable          	08 33 50.2308166896 -32 01 11.592596784	     ~   	13.25    	11.24    	     ~   	     ~   	~                	  13	   0
232	hip 42902  	BD+62 1013                         	Spectroscopic Binary          	08 44 36.0343263840 +61 30 31.717034352	     ~   	11.29    	9.81     	     ~   	     ~   	K2               	   7	   0
233	hip 43243  	HD 75362                           	Star                          	08 48 35.2395464664 -30 47 00.892022964	     ~   	10.00    	9.02     	     ~   	     ~   	G8III            	  11	   0
234	hip 43373  	HD 237751                          	Star                          	08 50 06.0093563496 +54 43 21.240108624	     ~   	10.64    	9.48     	     ~   	     ~   	K0               	   9	   0
235	hip 44498  	HD 77827                           	Double or Multiple Star       	09 03 58.1238358080 -26 43 12.753778440	     ~   	9.25     	9.03     	     ~   	     ~   	A1V              	  11	   0
236	hip 45567  	HIP 45567                          	Star                          	09 17 14.8743706968 -53 04 51.337270092	     ~   	     ~   	     ~   	12.60    	     ~   	~                	   9	   0
237	hip 51567  	BD+22 2232B                        	Star                          	10 31 59.3261561424 +22 02 09.863311884	     ~   	8.68     	8.41     	     ~   	     ~   	F0               	  13	   0
238	hip 52517  	BD+38 2175A                        	Star                          	10 44 16.9760898086 +37 38 33.012238795	     ~   	11.35    	10.84    	10.807   	     ~   	F5               	   9	   0
239	hip 52832  	HD 93658                           	Star                          	10 48 09.7799127312 -38 38 02.229116964	     ~   	9.97     	8.32     	     ~   	     ~   	K5/M0III         	   9	   0
240	hip 54865  	V* V901 Cen                        	Eclipsing Binary              	11 14 03.3393753360 -51 32 55.761048672	     ~   	12.89    	12.35    	     ~   	     ~   	Fp               	  13	   0
241	hip 55908  	BD+43 2115                         	Star                          	11 27 34.1245666824 +42 17 13.853135040	     ~   	11.38    	10.89    	     ~   	     ~   	F5               	  11	   0
242	hip 57791  	HD 102928                          	Spectroscopic Binary          	11 51 02.2295090976 -05 19 59.993484060	     ~   	6.676    	5.622    	     ~   	     ~   	K0+IIIb:         	  96	   0
243	hip 60692  	CD-51 6685A                        	Star                          	12 26 20.2899125208 -52 01 07.098604858	     ~   	11.58    	11.12    	11.103   	     ~   	~                	   8	   0
244	hip 65769  	BD+29 2412                         	Double or Multiple Star       	13 29 02.06831 +29 12 34.1434          	     ~   	11.194   	10.719   	10.579   	     ~   	F8               	   9	   0
245	hip 65968  	HIP 65968                          	Star                          	13 31 32.1936686592 -57 17 42.410698269	     ~   	11.79    	10.62    	10.443   	     ~   	~                	   8	   0
246	hip 67633  	CD-45 8753                         	Double or Multiple Star       	13 51 27.56754 -46 27 08.0128          	     ~   	10.809   	10.416   	10.414   	     ~   	F5               	  10	   0
247	hip 71278  	HD 127571                          	Star                          	14 34 38.7278879448 -61 44 26.568644820	     ~   	9.84     	9.59     	     ~   	     ~   	A1/2V            	  12	   0
248	hip 73177  	BD+03 2959                         	Star                          	14 57 21.4628038368 +02 47 08.798628012	     ~   	11.11    	10.12    	     ~   	     ~   	G5               	   8	   0
249	hip 73529  	HD 132952                          	Star                          	15 01 45.1718306976 +05 37 54.298939944	     ~   	10.38    	9.92     	     ~   	     ~   	F8               	  14	   0
250	hip 75358  	BD+39 2868                         	Star                          	15 23 59.1635248056 +38 43 32.218740012	     ~   	11.91    	10.68    	     ~   	     ~   	K5               	   9	   0
251	hip 77628  	BD+15 2919B                        	Spectroscopic Binary          	15 50 54.3608233560 +14 40 33.982791456	     ~   	10.84    	10.142   	     ~   	     ~   	K0               	  18	   0
252	hip 77987  	BD+10 2925B                        	Star                          	15 55 30.9249723552 +10 06 16.631212248	     ~   	10.09    	9.81     	     ~   	     ~   	F0               	  12	   0
253	hip 78660  	CPD-53 6994                        	Star                          	16 03 31.0350756216 -54 03 24.580939428	     ~   	12.28    	10.79    	     ~   	     ~   	~                	   8	   0
254	hip 79367  	BD+68 866                          	Star                          	16 11 53.8867498584 +68 07 32.938543344	     ~   	11.48    	10.92    	     ~   	     ~   	F8               	  10	   0
255	hip 79440  	CPD-53 7317                        	Double or Multiple Star       	16 12 44.92048 -54 19 06.9151          	     ~   	     ~   	     ~   	     ~   	     ~   	B7III/IV         	  11	   0
256	hip 80581  	HD 148024                          	Star                          	16 27 10.5000440856 -42 28 05.340129852	     ~   	10.37    	8.91     	     ~   	     ~   	G6III            	  11	   0
257	hip 81137  	HD 148938                          	Star                          	16 34 12.1040506728 -52 37 17.307686568	     ~   	9.51     	7.82     	     ~   	     ~   	K3III            	  11	   0
258	hip 81415  	V* V1061 Sco                       	Long-Period Variable          	16 37 40.0735968504 -42 57 04.750978248	     ~   	10.39    	8.26     	     ~   	     ~   	M1               	  15	   0
259	hip 82498  	V* KQ Sco                          	Classical Cepheid Variable    	16 51 38.5473559392 -45 25 36.101286516	12.37    	10.69    	9.31     	     ~   	     ~   	K7               	 130	   0
260	hip 83991  	HD 155195                          	Double or Multiple Star       	17 10 10.3535623106 -00 45 36.609505745	     ~   	     ~   	     ~   	     ~   	     ~   	A0V              	  15	   0
261	hip 84517  	HIP 84517                          	Spectroscopic Binary          	17 16 39.1317074808 +03 24 09.327729204	     ~   	12.144   	10.572   	10.472   	     ~   	~                	   8	   0
262	hip 85818  	HD 158547A                         	Star                          	17 32 07.3029734819 -44 19 19.622930025	     ~   	9.85     	9.76     	10.06    	     ~   	B8/9(V)          	  14	   0
263	hip 86149  	HD 159509                          	Double or Multiple Star       	17 36 17.50153 -28 34 18.8532          	     ~   	     ~   	     ~   	9.709    	     ~   	A3/5III          	  12	   0
264	hip 86163  	V* V1082 Sco                       	Eclipsing Binary              	17 36 27.3946517448 -33 29 35.832155928	11.79    	11.56    	10.09    	9.91     	     ~   	B0.7Ia           	  36	   0
265	hip 86895  	HIP 86895                          	Star                          	17 45 18.8264072329 -78 31 54.475680912	     ~   	13.048   	12.483   	12.403   	     ~   	~                	  11	   0
266	hip 87284  	HD 162262                          	Double or Multiple Star       	17 50 05.9461319224 +02 13 50.062476646	     ~   	     ~   	     ~   	     ~   	     ~   	A2V+K0/1(III)    	  23	   0
267	hip 87751  	HIP 87751                          	Star                          	17 55 27.5460249792 -62 59 31.728015096	     ~   	11.674   	10.232   	     ~   	     ~   	~                	  12	   0
268	hip 88401  	CD-28 14057                        	Star                          	18 03 03.8285640648 -28 23 03.919755660	     ~   	12.13    	10.57    	     ~   	     ~   	~                	   6	   0
269	hip 88855  	V* AX Sgr                          	Red Supergiant                	18 08 26.5116640800 -18 33 07.938405936	     ~   	11.34    	9.20     	     ~   	     ~   	K0Ia             	  86	   0
270	hip 89218  	HD 166734                          	Blue Supergiant               	18 12 24.6551425392 -10 43 53.060750040	9.36     	9.49     	8.42     	7.33     	6.47     	O7.5Iabf         	 176	   0
271	hip 89239  	C* 2551                            	Carbon Star                   	18 12 38.8534084848 +14 55 35.518664244	     ~   	12.01    	10.71    	     ~   	     ~   	R5               	  23	   0
272	hip 89300  	HD 166993                          	Double or Multiple Star       	18 13 18.5838829 -03 24 24.483623      	     ~   	8.91     	8.35     	     ~   	     ~   	F0V              	  14	   1
273	hip 89435  	HD 167175                          	Star                          	18 15 11.6128745304 -25 47 20.770692504	     ~   	10.01    	8.17     	     ~   	     ~   	K2(III)          	  11	   0
274	hip 89441  	HD 167330                          	Star                          	18 15 13.2627424392 -12 32 12.290772228	8.44     	8.89     	8.23     	9.01     	     ~   	O9.5/B0Ia/ab     	  51	   0
275	hip 89687  	HD 314217                          	Star                          	18 18 10.1913181848 -21 14 55.735709640	     ~   	11.70    	9.86     	     ~   	     ~   	K7               	   7	   0
276	hip 89946  	HD 168571                          	Variable Star                 	18 21 09.0621757992 -17 22 53.679590112	8.10     	8.51     	7.99     	7.48     	7.06     	B1Iab/b          	  41	   0
277	hip 89963  	HD 168625                          	Blue Supergiant               	18 21 19.5484021368 -16 22 26.075142156	10.15    	9.78     	8.37     	8.76     	     ~   	B6Iap            	 273	   2
278	hip 90115  	V* FR Sct                          	Symbiotic Star                	18 23 22.7911935072 -12 40 51.767480892	     ~   	11.97    	11.60    	     ~   	     ~   	M0/2II           	  69	   0
279	hip 90529  	ALS 9654                           	beta Cep Variable Candidate   	18 28 20.1340732896 -09 35 05.230601052	10.95    	11.0     	10.5     	     ~   	     ~   	B2:V:            	  24	   0
280	hip 90803  	V* V996 Her                        	Long-Period Variable Candidate	18 31 25.1364586848 +14 17 21.322183740	     ~   	11.49    	10.00    	     ~   	     ~   	M0               	   8	   0
281	hip 90847  	HD 170883                          	Double or Multiple Star       	18 31 58.1400376968 -06 06 52.147026612	     ~   	10.63    	8.46     	     ~   	     ~   	K3III            	   8	   0
282	hip 91288  	BD+07 3773                         	Long-Period Variable Candidate	18 37 13.5592330824 +07 31 56.271466956	     ~   	11.3     	9.84     	     ~   	     ~   	M3               	  14	   0
283	hip 91537  	BD+03 3769B                        	Star                          	18 40 04.7230041048 +03 21 45.609863724	     ~   	10.81    	9.91     	     ~   	     ~   	~                	   9	   0
284	hip 91583  	HIP 91583                          	Star                          	18 40 34.6901021640 -33 14 21.364539324	     ~   	12.30    	11.75    	     ~   	     ~   	~                	   5	   0
285	hip 91738  	V* CM Sct                          	Classical Cepheid Variable    	18 42 26.8209024792 -05 20 27.044239848	     ~   	11.93    	10.93    	     ~   	9.406    	~                	  86	   0
286	hip 91982  	HD 173251                          	Star                          	18 44 52.6215061152 -14 21 11.223488880	9.48     	9.78     	9.15     	9.54     	     ~   	B1/2Ib           	  29	   0
287	hip 92128  	HD 173637                          	Be Star                       	18 46 38.0806488744 -07 55 55.128040932	8.97     	9.45     	9.29     	     ~   	     ~   	B1/2Ib           	  48	   0
288	hip 92422  	HD 174281                          	Star                          	18 50 05.5176356376 -06 25 01.368266160	     ~   	10.52    	8.79     	     ~   	     ~   	F0V              	   8	   0
289	hip 94419  	HIC 94419                          	Long-Period Variable Candidate	19 13 04.0660965312 -52 38 47.795432820	     ~   	10.20    	13.904   	     ~   	     ~   	Gp               	   7	   0
290	hip 94996  	HD 181305                          	Star                          	19 19 49.4350339104 +06 10 05.585550060	     ~   	10.32    	9.88     	     ~   	     ~   	B9               	   7	   0
291	hip 95000  	HD 181657                          	Star                          	19 19 52.2037980312 +35 32 24.260669124	     ~   	9.53     	9.34     	     ~   	     ~   	A:III+F:III?     	  21	   0
292	hip 97443  	HD 186875                          	Star                          	19 48 20.0054229792 -34 36 58.968122472	     ~   	10.38    	8.68     	     ~   	     ~   	M0/1             	  12	   0
293	hip 98528  	HD 189901                          	Double or Multiple Star       	20 00 59.6111639305 +37 41 56.025418456	7.25     	8.07     	8.11     	     ~   	     ~   	B5               	  20	   1
294	hip 99101  	V* V1422 Aql                       	BY Dra Variable               	20 07 09.3444088632 +15 16 01.531237080	     ~   	9.59     	7.91     	     ~   	     ~   	K5               	  13	   0
295	hip 100137 	V* X Tel                           	Mira Variable                 	20 18 47.1835355928 -52 37 04.264157388	     ~   	10.40    	13.69    	     ~   	     ~   	M5e              	  23	   0
296	hip 100851 	BD+03 4340                         	Star                          	20 26 52.9323652656 +03 37 14.023409772	     ~   	12.13    	10.72    	     ~   	     ~   	K7               	   6	   0
297	hip 101239 	HD 195915                          	Double or Multiple Star       	20 31 15.49246 +59 44 41.5533          	     ~   	     ~   	     ~   	     ~   	     ~   	A2               	  11	   0
298	hip 101553 	HD 195996                          	Star                          	20 34 47.4304303296 -07 13 56.700881256	     ~   	10.659   	9.57     	     ~   	     ~   	G8IV             	  15	   0
299	hip 101686 	HIP 101686                         	Star                          	20 36 40.5100455312 +04 04 10.998783840	     ~   	11.90    	10.40    	     ~   	     ~   	M1               	   9	   0
300	hip 104013 	BD+45 3388                         	Pulsating Variable            	21 04 21.2139186096 +46 31 05.440044576	     ~   	9.330    	9.330    	     ~   	     ~   	B8               	   8	   0
301	hip 106172 	AG+51 1551                         	Star                          	21 30 21.0084894792 +51 37 28.330063968	     ~   	11.6     	10.8     	     ~   	     ~   	~                	  12	   0
302	hip 106476 	HD 235542A                         	Eclipsing Binary              	21 33 55.4215518945 +50 45 03.964041892	     ~   	9.63     	9.39     	9.479    	     ~   	B8               	  11	   0
303	hip 106565 	V* WW Aqr                          	Mira Variable                 	21 34 52.9870649856 +02 42 10.135108944	     ~   	10.50    	13.86    	     ~   	     ~   	M7/8             	  16	   0
304	hip 106832 	[R78b] 521                         	Spectroscopic Binary          	21 38 15.4654431408 +05 48 20.691217440	     ~   	12.891   	11.283   	10.794   	     ~   	M2               	   7	   0
305	hip 107174 	HIP 107174                         	Star                          	21 42 33.0255684936 +42 26 16.368535248	     ~   	10.96    	10.51    	     ~   	     ~   	~                	   9	   0
306	hip 107696 	BD-02 5640                         	Star                          	21 48 56.7025378992 -01 20 08.096484804	     ~   	12.387   	10.98    	     ~   	     ~   	K2               	   9	   0
307	hip 108370 	BD+03 4637                         	Star                          	21 57 16.7424237024 +04 14 03.484626396	     ~   	10.24    	9.00     	     ~   	     ~   	K2               	   5	   0
308	hip 110452 	BD+63 1841                         	Star                          	22 22 19.2785383368 +64 19 46.250020632	     ~   	10.19    	9.72     	     ~   	     ~   	B5               	  11	   0
309	hip 111250 	MSB 72                             	Carbon Star                   	22 32 26.8353176256 +58 37 05.804850000	     ~   	     ~   	     ~   	     ~   	     ~   	C4,4             	  32	   0
310	hip 111385 	V* SS Peg                          	Mira Variable                 	22 33 58.3346325671 +24 33 53.975992148	     ~   	11.43    	10.61    	7.39     	     ~   	M6.5e:           	  57	   0
311	hip 115925 	V* CY Cas                          	Classical Cepheid Variable    	23 29 12.7620309960 +63 22 27.488547156	     ~   	13.48    	11.67    	     ~   	9.627    	G1-2Ib           	  72	   0
312	hip 116426 	HD 221823                          	Star                          	23 35 31.0354123974 -07 09 06.341412832	     ~   	9.93     	8.91     	9.382    	     ~   	K0III            	   9	   0
313	hip 118194 	BD+68 1413                         	Star                          	23 58 28.0312428000 +69 14 00.135529368	     ~   	11.31    	10.76    	     ~   	     ~   	B5               	  10	   0
314	hip 7495   	BD+50 312                          	Double or Multiple Star       	01 36 29.92830 +50 49 26.1465          	     ~   	     ~   	     ~   	     ~   	     ~   	K0               	   9	   0
315	hip 22135  	HIP 22135                          	Star                          	04 45 48.6378924387 +74 14 38.416603176	     ~   	12.300   	12.075   	11.975   	     ~   	~                	   9	   0
316	hip 26218  	HIP 26218                          	Star                          	05 35 14.1927158927 -69 40 47.282402427	     ~   	     ~   	     ~   	13.904   	     ~   	~                	   9	   0
317	hip 29428  	HD 42366                           	Double or Multiple Star       	06 11 58.3926866592 +35 30 56.015783208	9.140    	9.220    	9.090    	     ~   	     ~   	A0               	  14	   1
318	hip 30529  	HD 44944                           	Star                          	06 25 00.9759281616 +10 31 03.299083680	     ~   	8.06     	7.80     	     ~   	     ~   	B9IV             	  21	   0
319	hip 33059  	V* GY Mon                          	Carbon Star                   	06 53 11.3117656776 -04 34 34.017565044	     ~   	11.0     	9.40     	     ~   	     ~   	C-N5+            	  54	   0
320	hip 35222  	HIP 35222                          	Star                          	07 16 47.8039962236 +24 32 20.662953296	     ~   	     ~   	     ~   	9.882    	     ~   	~                	   5	   0
