C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.27CEST09:59:15

 IdentList
----------

 # 	typed ident	            identifier             	             typ              	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	   spec. type    	#bib	#not
---	-----------	-----------------------------------	------------------------------	---------------------------------------	---------	---------	---------	---------	---------	-----------------	----	----
36 	hip 27007  	HD 38165                           	Star                          	05 43 43.7832964704 -00 56 19.173246828	8.88     	9.08     	8.83     	8.53     	8.33     	B8V              	  30	   0
37 	hip 28731  	HD 40752                           	Star                          	06 04 06.7306125168 +55 31 46.756305444	9.250    	9.490    	9.370    	     ~   	     ~   	A3               	  13	   0
38 	hip 30041  	HD 43837                           	Pulsating Variable            	06 19 16.8790133928 +20 34 47.755106652	8.82     	8.99     	8.49     	     ~   	     ~   	B2Ibp?           	  41	   0
39 	hip 30187  	HD 44235                           	Star                          	06 21 03.9305926272 +09 45 42.921248508	     ~   	7.80     	7.95     	     ~   	     ~   	B8               	  15	   0
40 	hip 30286  	V* RS Ori                          	Classical Cepheid Variable    	06 22 13.1926522608 +14 40 41.255838516	     ~   	9.34     	8.42     	     ~   	7.270    	F4Ib             	 144	   0
41 	hip 30652  	HD 257278                          	Star                          	06 26 26.7008913888 +07 07 45.589125792	     ~   	10.91    	10.93    	     ~   	     ~   	B9               	  11	   0
42 	hip 31411  	HD 46660                           	Star                          	06 35 00.3655003488 +11 07 27.918731892	7.74     	8.27     	8.04     	     ~   	     ~   	O9V              	  42	   1
43 	hip 31515  	HD 46868                           	Star                          	06 35 57.0817928472 +05 18 26.638133616	     ~   	9.13     	9.22     	     ~   	     ~   	~                	  21	   0
44 	hip 31516  	BD+05 1318                         	Star                          	06 35 57.2091203256 +05 19 00.105262932	     ~   	9.32     	9.41     	     ~   	     ~   	B5               	  16	   0
45 	hip 31522  	HD 46441                           	Star                          	06 35 59.6876853624 +48 24 47.491436700	     ~   	10.22    	8.85     	     ~   	     ~   	K2               	   9	   0
46 	hip 31905  	V* BE Mon                          	Classical Cepheid Variable    	06 40 05.5822060896 +07 36 20.986002036	     ~   	11.6     	10.5     	     ~   	     ~   	G5               	  83	   0
47 	hip 32005  	HD 47795                           	Star                          	06 41 13.1931333480 +18 34 34.850113644	     ~   	9.10     	8.94     	     ~   	     ~   	A5               	  11	   0
48 	hip 32180  	V* AD Gem                          	Classical Cepheid Variable    	06 43 07.5117403056 +20 56 20.799066228	     ~   	10.42    	9.80     	     ~   	9.044    	F5               	 104	   0
49 	hip 32232  	HD 262517                          	Star                          	06 43 43.0450819992 +26 13 33.466622628	     ~   	10.44    	9.34     	     ~   	     ~   	G5               	   9	   0
50 	hip 32327  	HD 292167                          	Star                          	06 44 53.8144895352 +00 37 12.593465724	9.1      	9.82     	9.63     	9.21     	     ~   	A3Ia             	  47	   0
51 	hip 33119  	HD 50737                           	Be Star                       	06 53 52.1678672136 -13 11 09.112957116	     ~   	8.64     	8.68     	9.44     	     ~   	B2Vnne           	  32	   0
52 	hip 33435  	HD 51331                           	Star                          	06 57 09.1285984752 +05 06 08.387779464	     ~   	8.84     	8.87     	     ~   	     ~   	B8               	  10	   0
53 	hip 33676  	HD 52244                           	Be Star                       	06 59 46.4591906256 -16 12 02.728933884	8.89     	9.62     	9.68     	9.68     	     ~   	B2IVnpe          	  50	   0
54 	hip 33712  	HD 51886                           	Star                          	07 00 14.7934311672 +26 52 42.189729348	     ~   	8.42     	7.47     	     ~   	     ~   	G8III            	  11	   0
55 	hip 33905  	HD 52772                           	Star                          	07 02 12.5340442440 -09 12 37.397819700	7.9      	8.22     	8.23     	     ~   	     ~   	B8II             	  22	   0
56 	hip 34299  	V* AO Mon                          	Eclipsing Binary              	07 06 36.2997682944 -04 37 24.504980556	     ~   	9.65     	9.72     	     ~   	     ~   	B3+B5            	  70	   1
57 	hip 34628  	CD-28 3949                         	Pulsating Variable            	07 10 22.6178374536 -28 55 59.850785604	     ~   	10.46    	10.46    	     ~   	     ~   	~                	  10	   0
58 	hip 35511  	HD 57215                           	Star                          	07 19 48.6364140840 -09 11 28.013092908	     ~   	8.53     	8.60     	     ~   	     ~   	B8II/III         	  10	   0
59 	hip 36589  	BD-13 2069                         	Star                          	07 31 30.5625517128 -13 54 03.406552452	     ~   	9.81     	9.81     	     ~   	     ~   	B8               	   8	   0
60 	hip 37129  	HD 61175                           	Star                          	07 37 45.1911721584 -07 27 10.718233596	     ~   	9.70     	8.47     	     ~   	     ~   	K2/3(III)        	  11	   0
61 	hip 37490  	CD-23 5958                         	Star                          	07 41 43.3297920936 -23 55 37.393246092	     ~   	10.78    	10.66    	     ~   	     ~   	~                	   8	   0
62 	hip 37745  	HD 62406                           	Star                          	07 44 29.6263751184 +18 36 05.028963912	     ~   	8.41     	8.37     	     ~   	     ~   	A0               	   9	   0
63 	hip 37814  	CPD-23 2815                        	Star                          	07 45 10.3778709600 -23 47 46.391897760	     ~   	10.67    	10.58    	     ~   	     ~   	~                	   9	   0
64 	hip 38253  	HD 63752                           	Star                          	07 50 10.5764471832 -09 11 00.390967872	     ~   	7.051    	5.598    	     ~   	     ~   	K2III            	  30	   0
65 	hip 38557  	HD 64452                           	Star                          	07 53 41.2606173648 -09 13 15.190554756	     ~   	8.71     	8.76     	     ~   	     ~   	B9III            	  11	   0
66 	hip 38572  	HD 64374                           	Star                          	07 53 51.0912534192 +05 24 29.342358828	     ~   	8.84     	8.76     	     ~   	     ~   	A0               	   9	   0
67 	hip 40238  	HD 68646                           	Star                          	08 13 08.5526065294 -05 38 35.736640695	     ~   	9.262    	9.204    	     ~   	     ~   	A1IV             	  29	   0
68 	hip 40254  	HD 68669                           	Star                          	08 13 18.0283022376 -05 38 26.414222820	     ~   	8.76     	8.71     	     ~   	     ~   	A0IV/V           	  29	   0
69 	hip 44182  	HD 77106                           	Double or Multiple Star       	09 00 01.4032575408 -14 31 43.094615808	     ~   	8.71     	8.41     	     ~   	     ~   	A9V              	  19	   0
70 	hip 45549  	HD 79800                           	Star                          	09 17 01.0457459832 +30 22 28.685592516	     ~   	8.27     	8.20     	     ~   	     ~   	A0               	  12	   0
71 	hip 46505  	HD 82405                           	Star                          	09 29 03.5234390856 -63 26 24.311657544	     ~   	8.55     	8.52     	     ~   	     ~   	B8III            	  12	   0
72 	hip 47028  	BD+81 300                          	Star                          	09 35 03.6563776608 +80 42 40.292022384	     ~   	11.04    	9.64     	     ~   	     ~   	K2               	   7	   0
73 	hip 47462  	HD 83699                           	Star                          	09 40 31.4395850352 +09 25 36.111816732	     ~   	9.58     	8.51     	     ~   	     ~   	G5               	  10	   0
74 	hip 51149  	CD-35 6432A                        	Star                          	10 26 55.7068280409 -36 26 12.203262199	     ~   	11.36    	10.44    	     ~   	     ~   	~                	   7	   0
75 	hip 52872  	HD 93790                           	Star                          	10 48 44.6638072080 -53 19 40.518939396	     ~   	9.58     	8.73     	     ~   	     ~   	G3/5II/III       	  11	   0
76 	hip 53232  	CD-38 6804                         	Star                          	10 53 21.9079409208 -38 52 13.142259696	     ~   	10.32    	8.88     	     ~   	     ~   	K2               	   7	   0
77 	hip 57782  	BD+00 2849                         	Variable Star                 	11 50 56.2389577632 -00 15 39.304421892	     ~   	11.86    	10.80    	10.58    	     ~   	K0               	  14	   0
78 	hip 60615  	BD+36 2268                         	Variable Star                 	12 25 23.4491331360 +35 58 33.472196148	     ~   	10.20    	10.31    	     ~   	     ~   	B3Vn             	  53	   0
79 	hip 64518  	HD 114914                          	Spectroscopic Binary          	13 13 25.2624563400 +28 19 30.526165524	     ~   	9.97     	9.54     	     ~   	     ~   	F5V              	  35	   0
80 	hip 65904  	HD 117216                          	Pulsating Variable            	13 30 36.0985852008 -65 07 48.025376940	     ~   	10.40    	10.27    	     ~   	     ~   	A3/5Ib/II        	  22	   0
81 	hip 73880  	BD-13 4065                         	Star                          	15 06 01.7060123904 -14 15 23.372692668	     ~   	10.41    	9.20     	     ~   	     ~   	K5               	   8	   0
82 	hip 74320  	HD 135100                          	Spectroscopic Binary          	15 11 26.6320689216 +48 41 34.574530596	     ~   	8.76     	8.39     	     ~   	     ~   	F5               	  25	   0
