k	alpha_k	mu_k0	mu_k1	mu_k2	mu_k3	mu_k4	Sigma_k00	Sigma_k01	Sigma_k02	Sigma_k03	Sigma_k04	Sigma_k11	Sigma_k12	Sigma_k13	Sigma_k14	Sigma_k22	Sigma_k23	Sigma_k24	Sigma_k33	Sigma_k34	Sigma_k44
0	0.3646347799966393	-0.0005407437016763328	1.9599440784808342	-0.015734989204077843	0.017161037841102914	-0.053649158392250595	0.00036504522631714974	0.0011340507682038288	1.7500084100346687e-05	2.3480171218739946e-05	-9.026159016448478e-05	1.6465618133018167	0.005456560245990861	-0.0009516145465938773	-0.010695060366605268	0.8538287266281225	2.3514435903639965e-05	0.006897905187804102	0.00023851685034280187	-2.579637261356631e-05	1.016309540224367
1	0.1368610822991193	-0.002003163316705144	33.9435883171692	-0.08430642020299325	0.23622467565765165	-0.05191008894256882	0.0006891361476950112	0.06172002618969461	0.0006185883510856455	-0.0007214585392282432	0.0003300521108195138	884.7083060427884	1.0368119552697417	-3.109343229895743	0.10266234871528739	7.20287353190027	-0.010980805551326191	0.02773220459819525	0.08026835954648814	-0.003918835379835338	1.398329599975002
2	0.02528154135662123	2.808261319579235	6317.807890041147	-1.8299111910415284	0.9336011412572174	-0.6254537019498028	5.213791236158049	8518.53198956225	-3.142418596395923	-0.6401681260864908	-1.3596589572823996	64286578.07529911	-3552.5873871733797	-2201.3004441990142	-2290.058527419325	61.82277416538783	-0.3836280128340206	5.327509227669628	0.8419140731319845	-0.16578206205276366	5.390006127285041
3	0.22005959747638637	0.00021312627989309766	6.316209699040397	-0.03473934050240168	0.07895951167901949	-0.05740068448399705	0.00044390937040584085	0.00580471119545552	-8.873616144831644e-05	-6.870860680676157e-05	-0.00021292819514833787	28.088571370606296	0.01427135953303429	-0.14624286164877137	-0.0050678363681137106	1.1174046680259648	-0.0010021096430957422	0.009932639610949767	0.00434229858344714	0.0002796701467122048	1.1541725799142561
4	0.11830715914547958	-0.03207166930791765	2.8977112982528395	-0.09289945916236578	0.05428961818609183	-0.05447792752286437	0.10671658305497979	0.10865432142786124	0.005054022911606418	-6.681439107687793e-05	0.0009252671072281653	6.042672197992521	0.053994080669469334	-0.006258564073326201	0.027202117845975912	3.1925016193642133	-0.0025907199728496364	0.10470814777512533	0.0032384259089363703	-0.0003448179231324105	3.96383979345027
5	0.04898941578262229	2.832816639573137	2627.5112852288216	-0.16295361362090763	0.06949867793875954	-0.04824954577544162	3.6054780499672616	1264.278284358658	0.21180309326175467	-0.001660636960181067	-0.026739234781612612	6127881.8526197765	148.05454424708813	-11.617433387059325	-57.78914802668067	8.98887060974382	-0.0024865525829908886	0.04964749810689344	0.004234218327607794	-0.00029434622165627967	1.7581363510407608
6	0.024827539133365516	1.4324306717052575	1118.0011090875128	8.802665782057962e-11	3.724027927297475e-10	-1.3882127837466564e-10	3.9188881272354417	1228.254847632201	-1.2777508042056988e-10	-5.317093369805485e-10	1.9893612829986572e-10	2838216.487653325	-9.432477215163033e-08	-4.123781570684925e-07	1.5262382132911202e-07	1.0000005813952119e-06	2.335640861762467e-13	-2.7060983101601143e-13	1.0000016378370166e-06	-5.569681633781232e-13	1.0000002560927027e-06
7	0.007537909452206921	2.225007362474821	3059.5759591391275	-58.57155530867953	0.9998303229146294	-6.0243993078997065	6.359648048892154	7687.432795534278	-54.7151396710647	0.17084296881905128	-4.256829632648753	27247147.67889851	-130193.77965069849	350.4814392024821	-13876.778099654337	17919.57465395666	-10.090177142142391	1258.9123529264575	0.8544487446476413	-1.437892457484389	660.1377220501777
8	0.053500975357559565	0.029392390759193	66.96940385418961	-0.4320884628588343	0.2029642811695857	-0.10751284968121166	0.07956660668933384	0.8946170468239812	0.000864613742284634	-0.005300846285551735	0.01606971011571767	6207.575505376436	32.81601488991885	-4.333147778771727	6.272997702344098	70.87300690099285	-0.09277993197599019	-0.23371334038826372	0.05467004129124452	-0.022882690619964993	10.302968124830802
